gene,ensembl,source,annotation_breast,annotation_io,programs,cell_lineages,program_states,marker_states,top_major,top3_majors,n_programs,pct_expressing,mean_lognorm,mean_counts,top_compartment,mean_Cancer,mean_Epithelial,mean_Immune,mean_Stroma
IL15RA,ENSG00000134470,IO,,Immune Cell Regulation,,,,,Adipocyte,"Adipocyte(0.599), Plasma(0.563), CAF_Fibroblast(0.505)",0,9.6,0.382,0.118,Stroma,0.256,0.237,0.372,0.505
IL18,ENSG00000150782,IO,,Immune Checkpoint,,,,,Macrophage_Mono,"Macrophage_Mono(1.208), Dendritic(1.015), Tumor(0.344)",0,9.4,0.373,0.138,Immune,0.344,0.342,0.529,0.14
IL1A,ENSG00000115008,IO,,Immune Cell Regulation,,,,,Myoepithelial,"Myoepithelial(0.068), Macrophage_Mono(0.067), Tumor(0.056)",0,1.2,0.045,0.013,Epithelial,0.056,0.068,0.047,0.033
IL1B,ENSG00000125538,IO,,Immune Cell Regulation;Epithelial Cell,Myeloid/DC:macrophage_M1,Myeloid/DC,macrophage_M1,macrophage_M1,Dendritic,"Dendritic(0.64), Macrophage_Mono(0.558), Endothelial(0.185)",1,4.5,0.192,0.09,Immune,0.147,0.133,0.247,0.139
IL23A,ENSG00000110944,IO,,Dendritic Cell;Tissue Repair,,,,,T_NK,"T_NK(0.145), B_cell(0.128), Plasma(0.107)",0,2.3,0.089,0.025,Immune,0.09,0.089,0.115,0.046
IL2RA,ENSG00000134460,Breast+IO,T cells,T Cell;Regulatory,T/NK:treg,T/NK,treg,Treg,T_NK,"T_NK(0.398), Macrophage_Mono(0.341), B_cell(0.214)",1,4.1,0.176,0.057,Immune,0.053,0.05,0.302,0.061
IL2RG,ENSG00000147168,Breast+IO,Dendritic cells,Immune Cell Regulation;T Cell,,,,,T_NK,"T_NK(2.759), B_cell(2.207), Plasma(2.076)",0,27.0,1.25,0.478,Immune,0.255,0.198,2.217,0.397
IL3RA,ENSG00000185291,Breast,Dendritic cells,,,,,,Endothelial,"Endothelial(1.15), Dendritic(0.815), Pericyte(0.613)",0,6.4,0.275,0.103,Stroma,0.067,0.07,0.254,0.476
IL4,ENSG00000113520,IO,,Macrophage;Neutrophil;Polarization;T Cell;Mast Cell;Basophil,T/NK:th2; Mast:effector_activation,Mast; T/NK,effector_activation; th2,,Myoepithelial,"Myoepithelial(0.067), Tumor(0.056), Plasma(0.051)",2,1.2,0.043,0.012,Epithelial,0.056,0.067,0.041,0.037
IL5,ENSG00000113525,IO,,Innate Lymphoid Cell;ILC2,T/NK:th2,T/NK,th2,,Mast,"Mast(0.086), Myoepithelial(0.078), Tumor(0.059)",1,1.2,0.046,0.013,Epithelial,0.059,0.078,0.048,0.034
IL6,ENSG00000136244,IO,,Immune Cell Regulation;Neutrophil,CAF/Adipo:iCAF; Mast:effector_activation,CAF/Adipo; Mast,effector_activation; iCAF,iCAF,Endothelial,"Endothelial(1.089), Pericyte(0.942), CAF_Fibroblast(0.546)",2,8.1,0.365,0.207,Stroma,0.145,0.142,0.247,0.741
