Barcode,Cluster
abaeepij-1,7
abaemfil-1,1
abaendlg-1,12
abafalii-1,3
abafdgpp-1,2
abafdhec-1,2
abafkcco-1,1
abagciig-1,4
abagdapi-1,8
abagfoei-1,4
abagkeho-1,8
abagljjc-1,10
abagnmda-1,10
abahdlhk-1,7
abahejcm-1,7
abahfmei-1,7
abahhfil-1,10
abahmlnm-1,25
abahnknj-1,12
abaibpia-1,10
abaifjem-1,10
abaiknip-1,1
abaimpcl-1,3
abajgbbk-1,12
abajhghp-1,14
abajjhkj-1,3
abajnfog-1,3
abakgbmi-1,3
abakgpgg-1,3
abakhbef-1,3
abakklao-1,9
abaleano-1,1
abalfoji-1,10
abaljgib-1,20
aballcil-1,3
abalmlmp-1,14
abambiii-1,3
abamdfca-1,1
abamegaa-1,3
abamgalg-1,3
abamoofd-1,10
abamopbh-1,3
abanhgfp-1,7
abanonik-1,3
abaoalfe-1,10
abaodokj-1,1
abaokbco-1,1
abapbelf-1,3
abapgdlo-1,10
abaphmmn-1,1
abapknjo-1,3
abapnano-1,1
abapocof-1,3
abbacalo-1,3
abbaelgd-1,2
abbaginb-1,1
abbaiadb-1,2
abbaieef-1,2
abbamcgn-1,10
abbanoln-1,25
abbaogeg-1,19
abbbhefi-1,3
abbcalnb-1,1
abbcdodm-1,1
abbcedcb-1,1
abbcfkbc-1,20
abbchoci-1,12
abbcipae-1,10
abbconkf-1,1
abbcpejk-1,3
abbdgjae-1,2
abbdmfpm-1,14
abbdnhfn-1,2
abbdpiok-1,8
abbedcjd-1,3
abbejjgn-1,14
abbeplom-1,1
abbffggg-1,3
abbfigmh-1,3
abbgejah-1,8
abbgghbd-1,7
abbghkje-1,10
abbghmic-1,3
abbgkmfd-1,8
abbgmikl-1,8
abbgphal-1,10
abbhacde-1,10
abbhgnfn-1,1
abbhkndd-1,3
abbhldbp-1,14
abbieink-1,1
abbjamnm-1,1
abbjdeap-1,2
abbjiblo-1,15
abbjigdi-1,1
abbjkljc-1,3
abbkfbgp-1,3
abbkgnig-1,3
abbkieng-1,14
abbkoddd-1,7
abbkoppm-1,3
abbkphig-1,14
abblfodi-1,12
abblglkm-1,14
abbngbod-1,3
abbniefd-1,3
abbnmibf-1,2
abbonojc-1,1
abbpcnpc-1,24
abbphjno-1,7
abbpilma-1,2
abcaajng-1,1
abcahjkg-1,2
abcaiefi-1,1
abcakkpf-1,1
abcaldhc-1,3
abcaniie-1,14
abcaoeif-1,1
abcbbpbh-1,10
abcbjodn-1,1
abcbpfne-1,1
abccaifh-1,12
abccdola-1,2
abccigeb-1,14
abcciohj-1,14
abccjalg-1,9
abccloii-1,3
abccnidm-1,3
abccoepa-1,3
abcdaaii-1,14
abcdnmjd-1,3
abcdolgi-1,1
abcfcdll-1,14
abcfhnoh-1,14
abcfmcea-1,1
abcgbmio-1,3
abcghjdc-1,1
abchaeoh-1,20
abchammo-1,1
abchfiad-1,2
abchigpb-1,2
abchlgnc-1,10
abchnkbf-1,1
abchnohd-1,1
abchodin-1,3
abciedfe-1,2
abcihnoi-1,1
abcilbfa-1,3
abciljlj-1,1
abcilkoo-1,14
abcinbbp-1,10
abcincjk-1,15
abcjnemd-1,15
abcjnpln-1,2
abckcdjk-1,1
abckelnn-1,7
abckfhhd-1,15
abckifbj-1,14
abckpnbk-1,14
abclmdem-1,3
abcmdaba-1,1
abcmfdbj-1,3
abcmflmh-1,1
abcmgphd-1,15
abcmiajo-1,10
abcmjmkk-1,2
abcmmgdc-1,14
abcmpfgn-1,1
abcnjggl-1,2
abcnlmdi-1,9
abcnpckn-1,9
abcofaaf-1,4
abconefp-1,10
abcpaoni-1,4
abdandfm-1,9
abdanfaf-1,2
abdaopob-1,14
abdbcpcn-1,4
abdbdmdo-1,8
abdbepjl-1,3
abdbgelc-1,3
abdbicni-1,3
abdbiigd-1,3
abdbjclp-1,7
abdbmfdd-1,15
abdbpgmo-1,3
abdcobfi-1,20
abdcpffp-1,15
abddfmkc-1,12
abddhoje-1,14
abdeakci-1,15
abdebnbn-1,10
abdehbdk-1,3
abdejlcp-1,14
abdelgba-1,9
abdfbdie-1,12
abdfeclc-1,1
abdfejjl-1,1
abdfgkka-1,3
abdfhcho-1,3
abdfhkba-1,1
abdfpmai-1,9
abdgcoeh-1,1
abdgdaan-1,15
abdgfpcl-1,1
abdghlap-1,15
abdiamgc-1,1
abdjlnon-1,1
abdjpipp-1,14
abdlilak-1,20
abdllohi-1,10
abdmanii-1,10
abdmiinc-1,8
abdmljdi-1,14
abdmokih-1,14
abdnjnme-1,3
abdodfnp-1,1
abdogjpc-1,10
abdohlho-1,1
abdoicie-1,3
abdpdfcd-1,14
abdpdmgo-1,1
abdpiijn-1,14
abebkpmp-1,12
abebmbnl-1,3
abecdefe-1,14
abecffem-1,7
abecgipg-1,7
abeckaei-1,12
abedadfk-1,19
abedancc-1,7
abedbjje-1,4
abedcmeo-1,2
abedeidi-1,9
abediafg-1,2
abeeajcm-1,22
abeefdic-1,1
abegghoe-1,1
abeggifc-1,14
abeggnlo-1,9
abegjeog-1,1
abegpmgg-1,9
abehflal-1,14
abehlbam-1,13
abehnhca-1,2
abehnmnl-1,9
abeiappa-1,6
abeibigl-1,6
abeibook-1,6
abeiffhe-1,6
abeiknjf-1,6
abeiobgi-1,20
abejddem-1,9
abejdkae-1,2
abejpjih-1,2
abekacfm-1,6
abelbkjg-1,6
abelilmf-1,6
abembhfh-1,6
abencfnc-1,6
abenebef-1,6
abenifoh-1,6
abeocbnd-1,6
abeooofj-1,6
abepdgkg-1,6
abepemio-1,6
abepfhef-1,6
abfabckh-1,6
abfadahf-1,13
abfaoaml-1,6
abfbdmcc-1,6
abfbephi-1,6
abfcckdh-1,6
abfcfndk-1,2
abfcnbhc-1,9
abfcoogf-1,3
abfdkeha-1,7
abfdnodi-1,1
abfdoign-1,7
abfdpomp-1,2
abfebnjn-1,7
abfedaok-1,9
abfeiecd-1,15
abfemmpb-1,15
abffaaip-1,1
abffdblc-1,12
abffdekb-1,2
abfffomj-1,1
abfgkeci-1,1
abfgmhjn-1,8
abfhbppj-1,17
abfhdike-1,17
abfhhfjl-1,6
abfhpcpk-1,6
abfhpgpe-1,6
abfjefjd-1,15
abfjehhf-1,14
abfjmeel-1,6
abfjplak-1,17
abfkciee-1,6
abfkeief-1,6
abfkfdff-1,1
abfklfjc-1,6
abfkmkfm-1,6
abfkmpln-1,6
abfkpebc-1,6
abflbaec-1,17
abfleaia-1,17
abflfgie-1,4
abflhpjk-1,12
abfllkln-1,6
abfloaad-1,15
abfmbcha-1,15
abfmdlhf-1,20
abfmjngb-1,15
abfmkbpe-1,15
abfmlecb-1,15
abfnanoo-1,15
abfnkgmh-1,7
abfnkjkl-1,15
abfnoobf-1,7
abfocfbi-1,7
abfoddjj-1,7
abfoebdb-1,15
abfojbpp-1,8
abfokamh-1,7
abfokhkh-1,15
abfolkej-1,14
abfolpdl-1,1
abfpbpih-1,15
abfpdemo-1,10
abfpffcl-1,15
abfpkbfo-1,15
abfpnbfh-1,15
abgadkci-1,15
abgagoca-1,15
abgahlgb-1,6
abgaieaf-1,17
abgajahl-1,6
abgajign-1,17
abgalikm-1,6
abgbabli-1,6
abgbeodg-1,17
abgbhoem-1,6
abgbkega-1,6
abgbmeff-1,6
abgbpojd-1,6
abgcahhi-1,9
abgcbdhi-1,9
abgcmake-1,15
abgdkcil-1,1
abgdmjbk-1,15
abgdngdg-1,6
abgeadcg-1,6
abgejhfp-1,6
abgemicg-1,2
abgenmkn-1,6
abgephmh-1,9
abgfakcd-1,6
abgfbfkb-1,9
abgfcpnd-1,2
abgfeacn-1,2
abgfgamn-1,7
abgfhana-1,6
abgggobb-1,6
abggnjpb-1,6
abggpkpg-1,24
abghfodd-1,1
abghhbdh-1,1
abghkbhp-1,2
abghpeid-1,2
abgiapcd-1,8
